v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,v_x/msec,v_y/msec,v/msec,aX/msec,aY/msec,a/msec,Mode
0,0.796855927,0.796855927,-0.796844482,0.796855927,1.14441E-05,57.95568848,31.44415665,14.30000007,0,0.062744561,0.062744561,-0.06274366,0.062744561,9.0111E-07,pen
0,0.796852112,0.796852112,0,-3.8147E-06,-3.8147E-06,57.95568848,32.24100876,12,0,0.062744261,0.062744261,0,-3.0037E-07,-3.0037E-07,pen
0,0.796840668,0.796840668,0,-1.14441E-05,-1.14441E-05,57.95568848,33.03784943,11.0999999,0,0.06274336,0.06274336,0,-9.0111E-07,-9.0111E-07,pen
0,2.390563965,2.390563965,0,1.593723297,1.593723297,57.95568848,35.42841339,12.5,0,0.188233384,0.188233384,0,0.125490024,0.125490024,pen
-0.796844482,5.577949524,5.634579134,-0.796844482,3.187385559,3.244015169,57.15884399,41.00636292,15.70000005,-0.06274366,0.439208626,0.443667651,-0.06274366,0.250975242,0.255434267,pen
-0.796844482,3.984264374,4.063166712,0,-1.59368515,-1.571412422,56.36199951,44.99062729,21.5,-0.06274366,0.313721606,0.319934389,0,-0.12548702,-0.123733262,pen
-1.593719482,7.171672821,7.346620505,-0.796875,3.187408447,3.283453793,54.76828003,52.16230011,12.60000002,-0.125489724,0.564698651,0.578474059,-0.062746063,0.250977045,0.25853967,pen
-1.593719482,4.781097412,5.039725613,0,-2.390575409,-2.306894892,53.17456055,56.94339752,19.19999993,-0.125489724,0.376464365,0.396828791,0,-0.188234285,-0.181645268,pen
-1.593688965,7.968521118,8.126325943,3.05176E-05,3.187423706,3.08660033,51.58087158,64.91191864,14.60000002,-0.125487321,0.627442611,0.639868188,2.40296E-06,0.250978246,0.243039397,pen
-1.593719482,7.968505859,8.126316965,-3.05176E-05,-1.52588E-05,-8.97748E-06,49.9871521,72.8804245,18.10000002,-0.125489724,0.62744141,0.639867481,-2.40296E-06,-1.20148E-06,-7.06888E-07,pen
-0.796844482,3.984260559,4.063162971,0.796875,-3.9842453,-4.063153994,49.19030762,76.86468506,12.20000005,-0.06274366,0.313721306,0.319934094,0.062746063,-0.313720104,-0.319933387,pen
0,0,0,0.796844482,-3.984260559,-4.063162971,49.19030762,76.86468506,14,0,0,0,0.06274366,-0.313721306,-0.319934094,pen
0,3.984260559,3.984260559,0,3.984260559,3.984260559,49.19030762,80.84894562,12.79999995,0,0.313721306,0.313721306,0,0.313721306,0.313721306,pen
0.796844482,2.390556335,2.519865219,0.796844482,-1.593704224,-1.46439534,49.9871521,83.23950195,12.39999998,0.06274366,0.188232783,0.198414585,0.06274366,-0.125488522,-0.11530672,pen
0,1.593696594,1.593696594,-0.796844482,-0.796859741,-0.926168625,49.9871521,84.83319855,13.20000005,0,0.125487922,0.125487922,-0.06274366,-0.062744862,-0.072926664,pen
1.593719482,0.796852112,1.781829138,1.593719482,-0.796844482,0.188132544,51.58087158,85.63005066,19.39999998,0.125489724,0.062744261,0.140301508,0.125489724,-0.06274366,0.014813586,pen
0.796875,0,0.796875,-0.796844482,-0.796852112,-0.984954138,52.37774658,85.63005066,17,0.062746063,0,0.062746063,-0.06274366,-0.062744261,-0.077555444,pen
0,0,0,0,0,0,76.28329468,41.80321884,12.10000002,0,0,0,0,0,0,pen
0,0,0,0,0,0,76.28329468,41.80321884,10.70000005,0,0,0,0,0,0,pen
0,0,0,0,0,0,76.28329468,41.80321884,11.29999995,0,0,0,0,0,0,pen
0,0,0,0,0,0,76.28329468,41.80321884,11.29999995,0,0,0,0,0,0,pen
1.593688965,0,1.593688965,1.593688965,0,1.593688965,77.87698364,41.80321884,12,0.125487321,0,0.125487321,0.125487321,0,0.125487321,pen
1.593688965,0,1.593688965,0,0,0,79.47067261,41.80321884,13,0.125487321,0,0.125487321,0,0,0,pen
4.78112793,0,4.78112793,3.187438965,0,3.187438965,84.25180054,41.80321884,14,0.376466768,0,0.376466768,0.250979447,0,0.250979447,pen
4.781097412,-0.796855927,4.847047744,-3.05176E-05,-0.796855927,0.065919814,89.03289795,41.00636292,20.60000002,0.376464365,-0.062744561,0.381657305,-2.40296E-06,-0.062744561,0.005190537,pen
8.765380859,-0.796836853,8.801525469,3.984283447,1.90735E-05,3.954477725,97.79827881,40.20952606,16.80000007,0.690187473,-0.06274306,0.693033505,0.313723108,1.50185E-06,0.311376201,pen
6.374816895,-1.593711853,6.5710127,-2.390563965,-0.796875,-2.230512768,104.1730957,38.61581421,14.79999995,0.501954089,-0.125489123,0.517402578,-0.188233384,-0.062746063,-0.175630928,pen
2.390533447,0,2.390533447,-3.984283447,1.593711853,-4.180479253,106.5636292,38.61581421,19.60000002,0.188230981,0,0.188230981,-0.313723108,0.125489123,-0.329171597,pen
2.390533447,-0.796852112,2.519845918,0,-0.796852112,0.129312471,108.9541626,37.8189621,14,0.188230981,-0.062744261,0.198413066,0,-0.062744261,0.010182084,pen
0,-0.796852112,0.796852112,0,-0.796852112,0.796852112,88.23605347,35.42841339,10.80000007,0,-0.062744261,0.062744261,0,-0.062744261,0.062744261,pen
0,0,0,0,0.796852112,-0.796852112,88.23605347,35.42841339,13.10000002,0,0,0,0,0.062744261,-0.062744261,pen
0,0,0,0,0,0,88.23605347,35.42841339,11.79999995,0,0,0,0,0,0,pen
0,0.796852112,0.796852112,0,0.796852112,0.796852112,88.23605347,36.2252655,11.89999998,0,0.062744261,0.062744261,0,0.062744261,0.062744261,pen
0.796844482,3.187404633,3.285499874,0.796844482,2.390552521,2.488647762,89.03289795,39.41267014,16.30000007,0.06274366,0.250976744,0.258700779,0.06274366,0.188232483,0.195956518,pen
0,0,0,-0.796844482,-3.187404633,-3.285499874,89.03289795,39.41267014,11.69999993,0,0,0,-0.06274366,-0.250976744,-0.258700779,pen
0.796844482,3.187404633,3.285499874,0.796844482,3.187404633,3.285499874,89.82974243,42.60007477,12.20000005,0.06274366,0.250976744,0.258700779,0.06274366,0.250976744,0.258700779,pen
1.593688965,6.374809265,6.570999748,0.796844482,3.187404633,3.285499874,91.4234314,48.97488403,13.19999993,0.125487321,0.501953488,0.517401558,0.06274366,0.250976744,0.258700779,pen
0.796875,5.577960968,5.634594779,-0.796813965,-0.796848297,-0.936404968,92.2203064,54.552845,15.20000005,0.062746063,0.439209528,0.443668883,-0.062741257,-0.062743961,-0.073732675,pen
-0.796875,8.765369415,8.801517526,-1.59375,3.187408447,3.166922746,91.4234314,63.31821442,16,-0.062746063,0.690186572,0.69303288,-0.125492127,0.250977045,0.249363997,pen
-2.390533447,7.171661377,7.559588419,-1.593658447,-1.593708038,-1.241929106,89.03289795,70.48987579,19,-0.188230981,0.564697749,0.595243186,-0.125484918,-0.125488823,-0.097789694,pen
-5.577972412,7.968513489,9.726817745,-3.187438965,0.796852112,2.167229326,83.45492554,78.45838928,13.89999998,-0.439210429,0.627442011,0.765891165,-0.250979447,0.062744261,0.170647979,pen
-5.577941895,4.781112671,7.346596093,3.05176E-05,-3.187400818,-2.380221653,77.87698364,83.23950195,19.89999998,-0.439208026,0.376465567,0.578472137,2.40296E-06,-0.250976444,-0.187419029,pen
-3.187438965,1.593696594,3.563654864,2.39050293,-3.187416077,-3.782941229,74.68954468,84.83319855,15.4000001,-0.250979447,0.125487922,0.280602747,0.188228578,-0.250977645,-0.29786939,pen
-3.187408447,1.593704224,3.56363098,3.05176E-05,7.62939E-06,-2.38838E-05,71.50213623,86.42690277,14.5999999,-0.250977045,0.125488522,0.280600866,2.40296E-06,6.0074E-07,-1.88062E-06,pen
-0.796844482,0,0.796844482,2.390563965,-1.593704224,-2.766786498,70.70529175,86.42690277,14.20000005,-0.06274366,0,0.06274366,0.188233384,-0.125488522,-0.217857206,pen
-0.796844482,-0.796852112,1.126913669,0,-0.796852112,0.330069187,69.90844727,85.63005066,21.39999998,-0.06274366,-0.062744261,0.08873336,0,-0.062744261,0.0259897,pen
-0.796844482,-3.187400818,3.285496173,0,-2.390548706,2.158582504,69.11160278,82.44264984,17.10000002,-0.06274366,-0.250976444,0.258700488,0,-0.188232183,0.169967127,pen
3.187408447,-4.781112671,5.746182296,3.98425293,-1.593711853,2.460686123,72.29901123,77.66153717,14.39999998,0.250977045,-0.376465567,0.452455301,0.313720705,-0.125489123,0.193754814,pen
3.984283447,-3.187408447,5.102360944,0.796875,1.593704224,-0.643821353,76.28329468,74.47412872,17.70000005,0.313723108,-0.250977045,0.401760706,0.062746063,0.125488522,-0.050694595,pen
7.171630859,-3.98425293,8.204057569,3.187347412,-0.796844482,3.101696625,83.45492554,70.48987579,14.39999998,0.564695346,-0.313720705,0.645988789,0.250972239,-0.06274366,0.244228082,pen
7.968505859,-2.390548706,8.319363482,0.796875,1.593704224,0.115305913,91.4234314,68.09932709,16.60000002,0.62744141,-0.188232183,0.655067994,0.062746063,0.125488522,0.009079206,pen
4.78112793,-1.593711853,5.039752152,-3.18737793,0.796836853,-3.27961133,96.20455933,66.50561523,15.19999993,0.376466768,-0.125489123,0.39683088,-0.250974642,0.06274306,-0.258237114,pen
6.374816895,0,6.374816895,1.593688965,1.593711853,1.335064743,102.5793762,66.50561523,17.4000001,0.501954089,0,0.501954089,0.125487321,0.125489123,0.105123209,pen
0,0,0,-6.374816895,0,-6.374816895,102.5793762,66.50561523,12.39999998,0,0,0,-0.501954089,0,-0.501954089,pen
1.593719482,0,1.593719482,1.593719482,0,1.593719482,104.1730957,66.50561523,12.89999998,0.125489724,0,0.125489724,0.125489724,0,0.125489724,pen
2.390533447,0,2.390533447,0.796813965,0,0.796813965,106.5636292,66.50561523,13.20000005,0.188230981,0,0.188230981,0.062741257,0,0.062741257,pen
0,0.796859741,0.796859741,-2.390533447,0.796859741,-1.593673706,106.5636292,67.30247498,16.29999995,0,0.062744862,0.062744862,-0.188230981,0.062744862,-0.125486119,pen
0,0.796852112,0.796852112,0,0.796852112,0.796852112,126.4849243,49.77173615,13.29999995,0,0.062744261,0.062744261,0,0.062744261,0.062744261,pen
0,-0.796852112,0.796852112,0,-1.593704224,0,126.4849243,48.97488403,12,0,-0.062744261,0.062744261,0,-0.125488522,0,pen
2.390563965,-1.593700409,2.87309538,2.390563965,-0.796848297,2.076243268,128.8754883,47.38118362,14.80000007,0.188233384,-0.125488222,0.226227984,0.188233384,-0.062743961,0.163483723,pen
4.781097412,-1.593708038,5.039721994,2.390533447,-7.62939E-06,2.166626614,133.6565857,45.78747559,18,0.376464365,-0.125488823,0.396828506,0.188230981,-6.0074E-07,0.170600522,pen
4.781097412,-2.390544891,5.345427704,0,-0.796836853,0.30570571,138.4376831,43.39693069,17.29999995,0.376464365,-0.188231882,0.420899822,0,-0.06274306,0.024071316,pen
9.562225342,-3.187404633,10.07946932,4.78112793,-0.796859741,4.734041616,147.9999084,40.20952606,17.5,0.752931134,-0.250976744,0.793659006,0.376466768,-0.062744862,0.372759184,pen
13.54647827,-0.796855927,13.5698951,3.98425293,2.390548706,3.490425776,161.5463867,39.41267014,14.89999998,1.066651838,-0.062744561,1.068495683,0.313720705,0.188232183,0.274836677,pen
8.765319824,0.796855927,8.801466411,-4.781158447,1.593711853,-4.768428685,170.3117065,40.20952606,18.5,0.690182667,0.062744561,0.693028855,-0.376469171,0.125489123,-0.375466828,pen
3.187469482,2.390548706,3.98430481,-5.577850342,1.59369278,-4.817161601,173.499176,42.60007477,17.5,0.25098185,0.188232183,0.31372479,-0.439200817,0.125487621,-0.379304065,pen
1.593688965,3.98425293,4.291167198,-1.593780518,1.593704224,0.306862389,175.092865,46.5843277,20.10000002,0.125487321,0.313720705,0.337887183,-0.12549453,0.125488522,0.024162393,pen
-1.593688965,5.577972412,5.801174083,-3.18737793,1.593719482,1.510006885,173.499176,52.16230011,18,-0.125487321,0.439210429,0.456785363,-0.250974642,0.125489724,0.118898181,pen
-3.187469482,4.781097412,5.746203457,-1.593780518,-0.796875,-0.054970627,170.3117065,56.94339752,20,-0.25098185,0.376464365,0.452456968,-0.12549453,-0.062746063,-0.004328396,pen
-8.765319824,6.374816895,10.83831731,-5.577850342,1.593719482,5.092113851,161.5463867,63.31821442,12.80000007,-0.690182667,0.501954089,0.853410816,-0.439200817,0.125489724,0.400953849,pen
-3.187408447,1.593704224,3.56363098,5.577911377,-4.781112671,-7.274686328,158.3589783,64.91191864,16.39999998,-0.250977045,0.125488522,0.280600866,0.439205623,-0.376465567,-0.57280995,pen
0,0,0,0,0,0,157.5621033,25.06933212,11.69999993,0,0,0,0,0,0,pen
0,0,0,0,0,0,157.5621033,25.06933212,11.30000007,0,0,0,0,0,0,pen
0,0,0,0,0,0,157.5621033,25.06933212,11.19999993,0,0,0,0,0,0,pen
0,0.796859741,0.796859741,0,0.796859741,0.796859741,157.5621033,25.86619186,11.10000002,0,0.062744862,0.062744862,0,0.062744862,0.062744862,pen
