v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,Mode
4.760345459,-3.173549652,5.721215455,-0.793365479,1.586788177,-1.593463036,200.9405823,26.51241302,15.80000007,pen
2.380126953,0.793392181,2.508879325,-2.380218506,3.966941833,-3.21233613,203.3207092,27.30580521,14.69999993,pen
2.380157471,3.966941833,4.626205475,3.05176E-05,3.173549652,2.11732615,205.7008667,31.27274704,18.30000007,pen
0,0,0,-2.380157471,-3.966941833,-4.626205475,205.7008667,31.27274704,13.10000002,pen
2.380187988,7.1404953,7.526750161,2.380187988,7.1404953,7.526750161,208.0810547,38.41324234,23.69999993,pen
0.793395996,1.586784363,1.774080556,-1.586791992,-5.553710938,-5.752669605,208.8744507,40.0000267,15.39999998,pen
0,0,0,0,0,0,192.2132874,36.82645798,11.30000007,pen
0,0,0,0,0,0,192.2132874,36.82645798,11.10000002,pen
0.793395996,0.793395996,1.122031378,0.793395996,0.793395996,1.122031378,193.0066833,37.61985397,12,pen
0,0.793388367,0.793388367,-0.793395996,-7.62939E-06,-0.328643011,193.0066833,38.41324234,14,pen
3.173553467,4.76033783,5.721211223,3.173553467,3.966949463,4.927822856,196.1802368,43.17358017,11.89999998,pen
1.586761475,5.553714752,5.775946635,-1.586791992,0.793376923,0.054735412,197.7669983,48.72729492,20.10000002,pen
0,8.727272034,8.727272034,-1.586761475,3.173557281,2.951325399,197.7669983,57.45456696,28.79999995,pen
0.793426514,0,0.793426514,0.793426514,0,0.793426514,181.1058655,43.17358017,11.30000007,pen
0,0.793395996,0.793395996,-0.793426514,0.793395996,-3.05176E-05,181.1058655,43.96697617,13.39999998,pen
0.793365479,1.586761475,1.774046437,0.793365479,0.793365479,0.980650441,181.899231,45.55373764,13.20000005,pen
2.380157471,7.14050293,7.526747749,1.586791992,5.553741455,5.752701312,184.2793884,52.69424057,19.39999998,pen
3.173553467,3.966945648,5.080167259,0.793395996,-3.173557281,-2.44658049,187.4529419,56.66118622,18,pen
0,0,0,0,0,0,201.7339478,42.38018417,11.10000002,pen
0.793395996,0,0.793395996,0.793395996,0,0.793395996,202.5273438,42.38018417,13.20000005,pen
0,0.793395996,0.793395996,-0.793395996,0.793395996,0,202.5273438,43.17358017,11.79999995,pen
0.793365479,1.586772919,1.774056673,0.793365479,0.793376923,0.980660677,203.3207092,44.76035309,15.39999998,pen
0,0,0,-0.793365479,-1.586772919,-1.774056673,203.3207092,44.76035309,11.39999998,pen
0.793365479,0.793392181,1.122007102,0.793365479,0.793392181,1.122007102,215.2215271,4.297533989,18,pen
2.380187988,4.76031971,5.322211815,1.58682251,3.966927528,4.200204713,217.6017151,9.057853699,15.60000002,pen
3.173583984,5.553728104,6.396524928,0.793395996,0.793408394,1.074313113,220.7752991,14.6115818,18.69999993,pen
0.793365479,0,0.793365479,0.793365479,0,0.793365479,201.7339478,21.7520752,13.60000002,pen
0,0,0,-0.793365479,0,-0.793365479,201.7339478,21.7520752,12.20000005,pen
1.586761475,-0.793390274,1.774057526,1.586761475,-0.793390274,1.774057526,203.3207092,20.95868492,15.19999993,pen
2.380157471,-0.793376923,2.508903451,0.793395996,1.33514E-05,0.734845925,205.7008667,20.165308,15.80000007,pen
5.553710938,-1.586782455,5.775948731,3.173553467,-0.793405533,3.26704528,211.2545776,18.57852554,16.89999998,pen
10.31408691,-2.380161285,10.58515737,4.760375977,-0.79337883,4.809208643,221.5686646,16.19836426,16.10000002,pen
5.553710938,-0.793390274,5.610095659,-4.760375977,1.586771011,-4.975061714,227.1223755,15.40497398,18.19999993,pen
0,0,0,0,0,0,208.8744507,20.165308,10.9000001,pen
0,0,0,0,0,0,208.8744507,20.165308,11.39999998,pen
0,0.793376923,0.793376923,0,0.793376923,0.793376923,208.8744507,20.95868492,12.60000002,pen
-1.586791992,4.760335922,5.017838869,-1.586791992,3.966959,4.224461947,207.2876587,25.71902084,15.79999995,pen
-0.793365479,5.553726196,5.610107258,0.793426514,0.793390274,0.592268389,206.4942932,31.27274704,16.20000005,pen
