v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,v_x/msec,v_y/msec,v/msec,aX/msec,aY/msec,a/msec,Mode
2.400024414,0,2.400024414,3.05176E-05,0,3.05176E-05,52.88751221,40.40000916,15.30000007,0.193550356,0,0.193550356,2.4611E-06,0,2.4611E-06,pen
1.599975586,0,1.599975586,-0.800048828,0,-0.800048828,54.48748779,40.40000916,13.60000002,0.129030289,0,0.129030289,-0.064520067,0,-0.064520067,pen
-0.799987793,-0.800003052,1.131364376,-0.799987793,-0.800003052,1.131364376,71.2875061,21.19999695,12,-0.064515145,-0.064516375,0.091239063,-0.064515145,-0.064516375,0.091239063,pen
0,0,0,0.799987793,0.800003052,-1.131364376,71.2875061,21.19999695,14.89999998,0,0,0,0.064515145,0.064516375,-0.091239063,pen
0,0,0,0,0,0,71.2875061,21.19999695,12.89999998,0,0,0,0,0,0,pen
0,0,0,0,0,0,71.2875061,21.19999695,11,0,0,0,0,0,0,pen
0,0.800003052,0.800003052,0,0.800003052,0.800003052,71.2875061,22,11.5,0,0.064516375,0.064516375,0,0.064516375,0.064516375,pen
-2.399993896,4,4.664758376,-2.399993896,3.199996948,3.864755324,68.88751221,26,21.29999995,-0.193547895,0.322580646,0.376190192,-0.193547895,0.258064271,0.311673817,pen
-2.400024414,4,4.664774077,-3.05176E-05,0,1.57012E-05,66.48748779,30,12.60000002,-0.193550356,0.322580646,0.376191459,-2.4611E-06,0,1.26623E-06,pen
-2.399993896,3.199996948,3.999993896,3.05176E-05,-0.800003052,-0.66478018,64.0874939,33.19999695,21,-0.193547895,0.258064271,0.322580154,2.4611E-06,-0.064516375,-0.053611305,pen
-1.600006104,0.800003052,1.788861206,0.799987793,-2.399993896,-2.211132691,62.48748779,34,12.20000005,-0.129032751,0.064516375,0.144263001,0.064515145,-0.193547895,-0.178317153,pen
-0.799987793,0,0.799987793,0.800018311,-0.800003052,-0.988873413,61.6875,34,18.60000002,-0.064515145,0,0.064515145,0.064517606,-0.064516375,-0.079747856,pen
0,0.800003052,0.800003052,0.799987793,0.800003052,1.52588E-05,61.6875,34.80000305,15.5,0,0.064516375,0.064516375,0.064515145,0.064516375,1.23055E-06,pen
0,0,0,0,-0.800003052,-0.800003052,61.6875,34.80000305,15.5999999,0,0,0,0,-0.064516375,-0.064516375,pen
0,0,0,0,0,0,61.6875,34.80000305,12.10000002,0,0,0,0,0,0,pen
0,0,0,0,0,0,61.6875,34.80000305,12.20000005,0,0,0,0,0,0,pen
0,0.800003052,0.800003052,0,0.800003052,0.800003052,61.6875,35.6000061,11.19999993,0,0.064516375,0.064516375,0,0.064516375,0.064516375,pen
0,0,0,0,-0.800003052,-0.800003052,61.6875,35.6000061,11.80000007,0,0,0,0,-0.064516375,-0.064516375,pen
0.799987793,0.800003052,1.131364376,0.799987793,0.800003052,1.131364376,62.48748779,36.40000916,14.10000002,0.064515145,0.064516375,0.091239063,0.064515145,0.064516375,0.091239063,pen
0.800018311,1.599990845,1.788854382,3.05176E-05,0.799987793,0.657490006,63.2875061,38,10.89999998,0.064517606,0.12903152,0.14426245,2.4611E-06,0.064515145,0.053023388,pen
2.399993896,11.20000076,11.45425632,1.599975586,9.600009918,9.665401936,65.6875,49.20000076,13.89999998,0.193547895,0.90322587,0.92373035,0.129030289,0.77419435,0.7794679,pen
0,0,0,-2.399993896,-11.20000076,-11.45425632,65.6875,49.20000076,12,0,0,0,-0.193547895,-0.90322587,-0.92373035,pen
0,15.20001602,15.20001602,0,15.20001602,15.20001602,65.6875,64.40001678,11.39999998,0,1.225807746,1.225807746,0,1.225807746,1.225807746,pen
0,5.599983215,5.599983215,0,-9.600032806,-9.600032806,65.6875,70,12.89999998,0,0.45161155,0.45161155,0,-0.774196196,-0.774196196,pen
-1.600006104,6.400016785,6.596986765,-1.600006104,0.800033569,0.997003549,64.0874939,76.40001678,12.30000007,-0.129032751,0.516130387,0.532015063,-0.129032751,0.064518836,0.080403512,pen
-0.799987793,2.399986267,2.52980524,0.800018311,-4.000030518,-4.067181525,63.2875061,78.80000305,15.29999995,-0.064515145,0.19354728,0.204016552,0.064517606,-0.322583107,-0.327998511,pen
