pressure0,interval,v0_x,v0_y,v0,aX,aY,a,pos_x,pos_y,msec,Mode
0.434570313,159.0999999,0,0,0,0,0,0,90.31304932,357.6164551,11.10000002,pen
0.3359375,146.8000001,0.334777832,0,0.334777832,0.334777832,0,0.334777832,82.94735718,378.3742981,14.89999998,pen
0.495117188,285.8,0,0,0,0,0,0,114.0841675,354.603241,11,pen
0.5390625,126.3000001,0,0.33480835,0.33480835,0,0.33480835,0.33480835,111.7405396,357.9512634,12,pen
0.693359375,255.2,0.334777832,0.33480835,0.47346893,0.334777832,0.33480835,0.47346893,132.1635742,349.5811462,11.10000002,pen
0.668945313,128.4,0,0,0,0,0,0,124.1282654,354.603241,10.60000002,pen
0.361328125,103.9,0,0,0,0,0,0,127.8111267,357.9512634,11.39999998,pen
0.50390625,119.5,0,0,0,0,0,0,127.8111267,363.3081055,11.19999993,pen
0.434570313,106.5999999,0,0,0,0,0,0,123.1238403,372.6826172,11.60000002,pen
0.568359375,74.10000002,-0.334747314,0.33480835,0.473447352,-0.334747314,0.33480835,0.473447352,129.4851685,371.008606,11.5,pen
0.233398438,2318.4,0,0,0,0,0,0,159.2827148,356.9468689,11.10000002,pen
0.651367188,85.4000001,-0.334747314,0,0.334747314,-0.334747314,0,0.334747314,158.6130981,372.3478394,10.89999998,pen
0.461914063,390.9,0.334777832,0,0.334777832,0.334777832,0,0.334777832,185.3973694,360.9644775,10.89999998,pen
0.233398438,89.60000002,-0.334838867,0,0.334838867,-0.334838867,0,0.334838867,188.7454224,367.6605835,12.29999995,pen
0.1796875,77.70000005,-0.33480835,0,0.33480835,-0.33480835,0,0.33480835,184.3929749,364.9821472,12,pen
0.340820313,90.60000002,0,-0.33480835,0.33480835,0,-0.33480835,0.33480835,187.40625,379.3787231,10.70000005,pen
0.6015625,55,0,0,0,0,0,0,192.4282837,371.008606,11.20000005,pen
0.5546875,152.3000001,0,0,0,0,0,0,213.1861267,356.61203,13.30000007,pen
0.211914063,60.20000005,-0.334777832,0,0.334777832,-0.334777832,0,0.334777832,211.1773376,364.9821472,11.69999993,pen
