pressure0,interval,gapX,gapY,gap,pos_x,pos_y,msec,v_x,v_y,v,aX,aY,a,Mode
0.98046875,238.7,0,0,0,237.5890198,379.2321472,12.10000002,0,0,0,0,0,0,pen
0.981445313,127.0999999,0,0,0,251.1025085,371.5101929,13.10000002,0,0,0,0,0,0,pen
0.98046875,127.4,0,0,0,239.0368958,393.2282715,11.4000001,0,0,0,0,0,0,pen
0.981445313,231.4,0,-0.965240479,0.965240479,280.059906,373.4406433,13.80000007,0,-0.069944962,0.069944962,0,-0.005068475,0.005068475,pen
0.981445313,465.9000001,0.482666016,-0.965270996,1.07921943,311.4305115,384.0583801,11.39999998,0.042339124,-0.084672895,0.094668371,0.003713958,-0.007427447,0.008304243,pen
0.981445313,168.8000001,0,0,0,317.7046204,368.1318054,11.89999998,0,0,0,0,0,0,pen
0.981445313,142.4,0,0,0,341.8358459,365.7186584,12.30000007,0,0,0,0,0,0,pen
0.982421875,127.2,0,0,0,351.4883118,369.5796814,12.69999993,0,0,0,0,0,0,pen
0.981445313,95.5,0,0,0,358.7276917,377.3016357,13.19999993,0,0,0,0,0,0,pen
0.978515625,7244,-1.447937012,0,1.447937012,246.2762146,341.5874634,13.20000005,-0.109692197,0,0.109692197,-0.008310015,0,0.008310015,pen
0.98046875,211.8,-0.48260498,-0.965240479,1.079164838,284.8862,328.5566101,12,-0.040217082,-0.080436707,0.089930403,-0.003351423,-0.006703059,0.0074942,pen
0.981445313,117.9000001,0,0.48260498,0.48260498,303.2258606,309.2516174,12.79999995,0,0.037703514,0.037703514,0,0.002945587,0.002945587,pen
0.982421875,107.2,0,0.482635498,0.482635498,324.4613342,309.7342529,15,0,0.0321757,0.0321757,0,0.002145047,0.002145047,pen
0.981445313,122.4,0,0,0,362.5886536,303.4601746,11.5,0,0,0,0,0,0,pen
0.981445313,93,0,0.48260498,0.48260498,343.2837219,311.1821289,12.5,0,0.038608398,0.038608398,0,0.003088672,0.003088672,pen
0.981445313,158,0,0,0,384.3067322,342.5527039,11.19999993,0,0,0,0,0,0,pen
0.98046875,1924.3,0,-0.482574463,0.482574463,385.7546692,371.5101929,12.10000002,0,-0.039882187,0.039882187,0,-0.003296049,0.003296049,pen
0.98046875,154.4,0.965270996,-0.482635498,1.079205782,379.9631653,388.884613,11.70000005,0.082501794,-0.041250897,0.09223981,0.007051435,-0.003525718,0.007883744,pen
0.98046875,99.5999999,0,0,0,384.7893372,397.5718689,11.10000002,0,0,0,0,0,0,pen
0.98046875,107.7,0,0,0,394.924469,406.7416992,11.79999995,0,0,0,0,0,0,pen
0.98046875,150.4,0,0,0,378.0326233,413.0158386,11.60000002,0,0,0,0,0,0,pen
0.98046875,121.5999999,0,0,0,377.5500183,417.3594666,10.9000001,0,0,0,0,0,0,pen
0.98046875,483.5,0.482666016,-0.482666016,0.682592825,410.8511047,385.5062561,11.39999998,0.042339124,-0.042339124,0.059876564,0.003713958,-0.003713958,0.00525233,pen
0.168945313,1026.1,1.447875977,0,1.447875977,423.8819885,404.3286133,12.29999995,0.117713494,0,0.117713494,0.009570203,0,0.009570203,pen
0.526367188,430.9000001,0,0.965301514,0.965301514,422.4341125,410.6027527,14.39999998,0,0.067034827,0.067034827,0,0.004655196,0.004655196,pen
0.18359375,108.4,0.48260498,0,0.48260498,417.1252136,425.0814514,12.80000007,0.037703514,0,0.037703514,0.002945587,0,0.002945587,pen
0.365234375,242.8,0.48260498,-0.482635498,0.682528088,437.3954163,366.2012939,13.60000002,0.03548566,-0.035487904,0.050185889,0.00260924,-0.002609405,0.003690139,pen
0.314453125,142.7,0,0,0,450.908905,393.2282715,11.89999998,0,0,0,0,0,0,pen
0.1484375,171.9,0,-0.965270996,0.965270996,453.804657,358.9619141,13.70000005,0,-0.070457737,0.070457737,0,-0.0051429,0.0051429,pen
0.483398438,265.5,0.48260498,0,0.48260498,467.8007507,364.2708435,11.19999993,0.043089731,0,0.043089731,0.003847297,0,0.003847297,pen
0.17578125,100.7,-0.482666016,0,0.482666016,482.2794495,367.6491394,11.79999995,-0.0409039,0,0.0409039,-0.003466432,0,0.003466432,pen
0.293945313,111.2,0.48260498,0,0.48260498,466.3528748,392.7456055,11.5,0.04196565,0,0.04196565,0.003649187,0,0.003649187,pen
0.467773438,151,0.965209961,0,0.965209961,475.5227356,363.7881775,12.5,0.077216797,0,0.077216797,0.006177344,0,0.006177344,pen
0.16796875,95.70000005,-0.965209961,0.48260498,1.079137543,474.0748596,382.6105042,14.5999999,-0.066110272,0.033055136,0.073913531,-0.004528101,0.00226405,0.005062571,pen
0.34375,101.1,0.482727051,0,0.482727051,479.3838196,393.2282715,12.60000002,0.038311671,0,0.038311671,0.003040609,0,0.003040609,pen
0.916992188,173.3000001,0.482666016,0,0.482666016,495.3103333,362.822937,14.0999999,0.034231633,0,0.034231633,0.002427775,0,0.002427775,pen
0.333984375,120.5999999,0.48260498,0.48260498,0.682506509,490.9667053,379.2321472,11,0.04387318,0.04387318,0.062046046,0.003988471,0.003988471,0.00564055,pen
0.368164063,117.9,0,-0.482635498,0.482635498,479.8663635,394.6761169,12.60000002,0,-0.038304405,0.038304405,0,-0.003040032,0.003040032,pen
0.9765625,121.0999999,0.48260498,0.48260498,0.682506509,510.271698,365.7186584,12.80000007,0.037703514,0.037703514,0.053320821,0.002945587,0.002945587,0.004165689,pen
0.166992188,188.6,0.965270996,0,0.965270996,520.8894348,376.8190308,11,0.087751909,0,0.087751909,0.007977446,0,0.007977446,pen
0.28515625,106.9,0,-0.482574463,0.482574463,527.6462097,367.1665649,12.5,0,-0.038605957,0.038605957,0,-0.003088477,0.003088477,pen
0.421875,111,0,0,0,526.6809387,394.6761169,12.10000002,0,0,0,0,0,0,pen
0.392578125,980.4,4.82623291,-1.447875977,5.03873684,548.3990173,379.2321472,11.9000001,0.405565788,-0.121670249,0.423423261,0.034081158,-0.010224391,0.035581786,pen
0.9765625,106.6,0,0.482574463,0.482574463,555.6382751,367.6491394,12.29999995,0,0.039233696,0.039233696,0,0.003189731,0.003189731,pen
0.170898438,138,0.48260498,0,0.48260498,536.3334045,407.7070007,12.29999995,0.039236177,0,0.039236177,0.003189933,0,0.003189933,pen
0.807617188,254.1,-0.482543945,0,0.482543945,585.5611267,363.7881775,13,-0.037118765,0,0.037118765,-0.00285529,0,0.00285529,pen
0.696289063,102.3000001,0,0.965209961,0.965209961,569.6343689,372.4754028,12.5999999,0,0.076603966,0.076603966,0,0.00607968,0.00607968,pen
0.323242188,82.89999998,0,0.482574463,0.482574463,575.4259949,374.4058838,13,0,0.037121113,0.037121113,0,0.00285547,0.00285547,pen
0.6796875,78.79999995,0,0,0,587.4916077,377.7842712,12.5,0,0,0,0,0,0,pen
0.5234375,138.9,0.482727051,0,0.482727051,559.0168152,393.2282715,11,0.043884277,0,0.043884277,0.00398948,0,0.00398948,pen
0.508789063,103.8000001,-0.48260498,0,0.48260498,574.9433899,382.1278992,12.29999995,-0.039236177,0,0.039236177,-0.003189933,0,0.003189933,pen
0.18359375,66.5,0,-3.378326416,3.378326416,570.1170959,403.3633728,12.29999995,0,-0.274660685,0.274660685,0,-0.022330137,0.022330137,pen
0.564453125,93.69999993,0.482543945,0,0.482543945,571.5649719,396.1239929,11.70000005,0.041243072,0,0.041243072,0.003525049,0,0.003525049,pen
0.28515625,611,0.965332031,-0.482635498,1.079260374,600.5224915,378.2669067,15.29999995,0.063093597,-0.031544804,0.070539894,0.004123765,-0.002061752,0.004610451,pen
0.307617188,104.4,0,0.48260498,0.48260498,601.9703064,382.6105042,11.60000002,0,0.041603878,0.041603878,0,0.003586541,0.003586541,pen
0.333984375,126.6,0.48260498,-0.482635498,0.682528088,599.0744934,394.1934814,12.39999998,0.038919757,-0.038922218,0.055042588,0.00313869,-0.003138889,0.004438918,pen
0.15625,59.79999995,-0.48260498,0,0.48260498,601.4877014,399.0197449,11.70000005,-0.041248289,0,0.041248289,-0.003525495,0,0.003525495,pen
0.186523438,32.20000005,-0.965270996,0.48260498,1.079192134,588.4568176,409.6374512,12.60000002,-0.076608809,0.038301983,0.085650169,-0.006080064,0.00303984,0.006797632,pen
0.19140625,38.29999995,0,-0.48260498,0.48260498,587.9742126,410.6027527,14.20000005,0,-0.033986266,0.033986266,0,-0.002393399,0.002393399,pen
0.493164063,104,0.482666016,0,0.482666016,611.1401672,379.2321472,12.70000005,0.038005198,0,0.038005198,0.002992535,0,0.002992535,pen
0.321289063,170.9000001,0.48260498,-0.482666016,0.682549668,615.9664001,392.7456055,11.29999995,0.042708406,-0.042713807,0.060402626,0.003779505,-0.003779983,0.005345365,pen
0.184570313,95.10000002,1.930480957,-0.48260498,1.989890523,619.8273621,396.6066284,11.70000005,0.164998372,-0.041248289,0.170076112,0.014102425,-0.003525495,0.01453642,pen
0.98046875,8663.1,0,-1.074329376,1.074329376,551.0480652,39.71547318,13,0,-0.082640721,0.082640721,0,-0.006356979,0.006356979,pen
0.98046875,167.9,0,0.358112335,0.358112335,575.3994446,43.65465927,11.39999998,0,0.031413363,0.031413363,0,0.002755558,0.002755558,pen
0.979492188,177.2,0,0,0,596.8858337,41.14790344,11.5999999,0,0,0,0,0,0,pen
0.98046875,140.0999999,0,0,0,607.2709045,40.43169403,11.30000007,0,0,0,0,0,0,pen
0.98046875,136.3,0,0.358112335,0.358112335,618.3722839,49.74248886,14.70000005,0,0.024361383,0.024361383,0,0.001657237,0.001657237,pen
0.98046875,487.3000001,0,0,0,683.5478821,42.222229,11.5,0,0,0,0,0,0,pen
0.98046875,114.5,0,0,0,696.0815735,44.01276779,11.69999993,0,0,0,0,0,0,pen
0.981445313,156.5,0.358154297,0,0.358154297,718.6423645,45.80330276,11.70000005,0.030611478,0,0.030611478,0.002616366,0,0.002616366,pen
0.981445313,99,0,0,0,713.6288147,44.37087631,10.79999995,0,0,0,0,0,0,pen
0.981445313,142.9,0,0,0,720.0747986,48.31005478,11.5,0,0,0,0,0,0,pen
0.98046875,104.4,0.358093262,0,0.358093262,722.9396667,62.27623749,11.60000002,0.030870109,0,0.030870109,0.002661216,0,0.002661216,pen
0.981445313,327.6,0,0,0,547.1089172,99.8775177,11.5999999,0,0,0,0,0,0,pen
0.981445313,107.4,0,0,0,576.4737244,102.0261765,11.5,0,0,0,0,0,0,pen
