v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,Mode
19.19998169,-5.600006104,19.99998413,-3.200012207,2.399993896,-3.785720117,106.4874878,54,19.89999998,pen
2.400024414,0,2.400024414,-16.79995728,5.600006104,-17.59995972,108.8875122,54,16.4000001,pen
2.399993896,-0.799999237,2.529816097,-3.05176E-05,-0.799999237,0.129791683,111.2875061,53.20000076,13.69999993,pen
0,0,0,-2.399993896,0.799999237,-2.529816097,111.2875061,53.20000076,11.20000005,pen
0,0,0,0,0,0,96.88751221,54.79999924,11.80000007,pen
0,0,0,0,0,0,96.88751221,54.79999924,11.19999993,pen
0.799987793,0.800006866,1.131367074,0.799987793,0.800006866,1.131367074,97.6875,55.6000061,11.70000005,pen
0,0,0,-0.799987793,-0.800006866,-1.131367074,97.6875,55.6000061,12.89999998,pen
2.399993896,2.399993896,3.394103918,2.399993896,2.399993896,3.394103918,100.0874939,58,11.39999998,pen
3.200012207,2.400016785,4.000019836,0.800018311,2.28882E-05,0.605915918,103.2875061,60.40001678,10.70000005,pen
4.799987793,5.599983215,7.375614878,1.599975586,3.199966431,3.375595041,108.0874939,66,16.10000002,pen
4.800018311,4.800003052,6.788240205,3.05176E-05,-0.799980164,-0.587374673,112.8875122,70.80000305,21.5999999,pen
3.199981689,4,5.122487951,-1.600036621,-0.800003052,-1.665752253,116.0874939,74.80000305,12.60000002,pen
0.800018311,0,0.800018311,0.800018311,0,0.800018311,36.88751221,102.8000031,11.39999998,pen
1.599975586,0,1.599975586,0.799957275,0,0.799957275,38.48748779,102.8000031,13.20000005,pen
8.800018311,-2.399986267,9.121417453,7.200042725,-2.399986267,7.521441867,47.2875061,100.4000168,12.20000005,pen
0,0,0,-8.800018311,2.399986267,-9.121417453,47.2875061,100.4000168,15.69999993,pen
19.19998169,-5.600013733,19.99998627,19.19998169,-5.600013733,19.99998627,66.48748779,94.80000305,12.39999998,pen
16.80001831,-4,17.26964433,-2.399963379,1.600013733,-2.730341939,83.2875061,90.80000305,15,pen
16,-4,16.4924225,-0.800018311,0,-0.777221826,99.2875061,86.80000305,17.4000001,pen
